,condition,stimulus,feature,value,midi,frequency,value_ortho_freq
0,flute,stim_100_flute,centroid,2656.5570409532233,100,2637.020455302959,-1054.8569062520187
1,flute,stim_101_flute,centroid,2813.659765497301,101,2793.8258514640315,-1101.574898817189
2,flute,stim_102_flute,centroid,2981.022592404103,102,2959.955381693075,-1150.1525995534798
3,flute,stim_103_flute,centroid,3155.446364856879,103,3135.9634878539937,-1204.5098467150337
4,flute,stim_104_flute,centroid,3342.501727782538,104,3322.4375806395615,-1259.8395307606488
5,flute,stim_105_flute,centroid,3546.081104031587,105,3520.0,-1313.0581664022088
6,flute,stim_106_flute,centroid,3756.3381032403663,106,3729.3100921447217,-1374.8691834963706
7,flute,stim_107_flute,centroid,3978.0140669650873,107,3951.066410048992,-1441.4392422001538
8,flute,stim_108_flute,centroid,4216.1096440280835,108,4186.009044809578,-1508.7296879960231
9,flute,stim_55_flute,centroid,389.7128599335522,55,195.99771799087463,-148.780913734686
10,flute,stim_56_flute,centroid,509.1073394458706,56,207.65234878997256,-44.53549965807224
11,flute,stim_57_flute,centroid,527.4108371100904,57,220.0,-42.28187773701552
12,flute,stim_58_flute,centroid,574.9372184081371,58,233.0818807590449,-11.759747457902336
13,flute,stim_59_flute,centroid,582.4284781414146,59,246.94165062806212,-22.283864126406684
14,flute,stim_60_flute,centroid,587.6282743271504,60,261.6255653005986,-36.17069436934992
15,flute,stim_61_flute,centroid,675.2773350248849,61,277.1826309768721,31.25679003137634
16,flute,stim_62_flute,centroid,721.8920311727627,62,293.66476791740763,56.4474723828032
17,flute,stim_63_flute,centroid,864.9467851678644,63,311.1269837220809,176.8042744275208
18,flute,stim_64_flute,centroid,855.6211442817618,64,329.62755691286986,143.43099113244568
19,flute,stim_65_flute,centroid,914.1192752198197,65,349.22823143300394,176.45153243184768
20,flute,stim_66_flute,centroid,878.5968229291617,66,369.9944227116344,113.93651418580305
21,flute,stim_67_flute,centroid,983.3188852182228,67,391.9954359817492,190.06094902307302
22,flute,stim_68_flute,centroid,1064.2400758817626,68,415.3046975799452,240.68400881520336
23,flute,stim_69_flute,centroid,807.4819491537069,69,440.0,-48.17386939917833
24,flute,stim_70_flute,centroid,828.967601587176,70,466.1637615180898,-60.69671900357639
25,flute,stim_71_flute,centroid,796.019345103478,71,493.88330125612424,-129.67572829083804
26,flute,stim_72_flute,centroid,690.5688951977177,72,523.2511306011972,-273.29943105395637
27,flute,stim_73_flute,centroid,712.8796561249274,73,554.3652619537442,-291.4318227207631
28,flute,stim_74_flute,centroid,759.5383905658618,74,587.3295358348153,-287.62111587273057
29,flute,stim_75_flute,centroid,766.7942812919914,75,622.2539674441618,-325.7611290473692
30,flute,stim_76_flute,centroid,918.3989776105608,76,659.2551138257397,-222.25171754674477
31,flute,stim_77_flute,centroid,926.4420519873584,77,698.4564628660079,-265.163822447259
32,flute,stim_78_flute,centroid,1001.696198209019,78,739.9888454232688,-243.8948081363717
33,flute,stim_79_flute,centroid,1612.41609242786,79,783.9908719634984,309.6298311788869
34,flute,stim_80_flute,centroid,1657.8753294529383,80,830.6093951598904,294.49280646114653
35,flute,stim_81_flute,centroid,1754.6569413216248,81,880.0,327.074915357181
36,flute,stim_82_flute,centroid,966.7062214002184,82,932.3275230361796,-528.8928086399598
37,flute,stim_83_flute,centroid,1019.965313936082,83,987.7666025122484,-547.6952217112236
38,flute,stim_84_flute,centroid,1081.9417650853024,84,1046.5022612023945,-562.065276276719
39,flute,stim_85_flute,centroid,1112.923818215838,85,1108.7305239074883,-611.9695283342162
40,flute,stim_86_flute,centroid,1183.4418043882415,86,1174.6590716696303,-627.1475973476165
41,flute,stim_87_flute,centroid,1253.9216795806246,87,1244.5079348883237,-647.4595299567698
42,flute,stim_88_flute,centroid,1328.815463311675,88,1318.5102276514797,-668.7563158616094
43,flute,stim_89_flute,centroid,1405.317222260109,89,1396.9129257320158,-694.1649154677996
44,flute,stim_90_flute,centroid,1489.3139598048474,90,1479.9776908465376,-718.138441744607
45,flute,stim_91_flute,centroid,1578.0736566535236,91,1567.9817439269968,-743.7692547030963
46,flute,stim_92_flute,centroid,1675.5241830630885,92,1661.2187903197807,-767.5112517791686
47,flute,stim_93_flute,centroid,1770.2036650616606,93,1760.0,-801.2307757259005
48,flute,stim_94_flute,centroid,1876.7598401863552,94,1864.6550460723593,-830.7086087526745
49,flute,stim_95_flute,centroid,1987.424123273502,95,1975.533205024497,-864.1673368797826
50,flute,stim_96_flute,centroid,2106.2362709972513,96,2093.004522404789,-898.0482005854651
51,flute,stim_97_flute,centroid,2232.47247582102,97,2217.4610478149766,-933.584606137762
52,flute,stim_98_flute,centroid,2366.19737496619,98,2349.318143339261,-971.2518173641997
53,flute,stim_99_flute,centroid,2505.8325519284217,99,2489.0158697766474,-1013.2002560050405
0,viola,stim_100_viola,centroid,4941.933953341981,100,2637.020455302959,1230.5200061367386
1,viola,stim_101_viola,centroid,5064.759841253916,101,2793.8258514640315,1149.5251769394263
2,viola,stim_102_viola,centroid,5545.618509628869,102,2959.955381693075,1414.4433176712864
3,viola,stim_103_viola,centroid,5612.706382059201,103,3135.9634878539937,1252.7501704872884
4,viola,stim_104_viola,centroid,6204.505859404564,104,3322.4375806395615,1602.164600861377
5,viola,stim_105_viola,centroid,6412.856505681459,105,3520.0,1553.7172352476628
6,viola,stim_106_viola,centroid,6864.628964385143,106,3729.3100921447217,1733.4216776484063
7,viola,stim_107_viola,centroid,7227.390123095091,107,3951.066410048992,1807.9368139298504
8,viola,stim_108_viola,centroid,7343.705302399725,108,4186.009044809578,1618.8659703756184
9,viola,stim_55_viola,centroid,302.38788242464614,55,195.99771799087463,-236.10589124359205
10,viola,stim_56_viola,centroid,469.8644432600647,56,207.65234878997256,-83.77839584387812
11,viola,stim_57_viola,centroid,520.3587686745325,57,220.0,-49.333946172573405
12,viola,stim_58_viola,centroid,526.7344595940659,58,233.0818807590449,-59.96250627197355
13,viola,stim_59_viola,centroid,558.8091544250481,59,246.94165062806212,-45.903187842773264
14,viola,stim_60_viola,centroid,410.6431161451304,60,261.6255653005986,-213.1558525513699
15,viola,stim_61_viola,centroid,455.74387290931816,61,277.1826309768721,-188.2766720841904
16,viola,stim_62_viola,centroid,453.00786872133017,62,293.66476791740763,-212.43669006862933
17,viola,stim_63_viola,centroid,901.7189699686764,63,311.1269837220809,213.57645922833285
18,viola,stim_64_viola,centroid,860.1366904216391,64,329.62755691286986,147.94653727232298
19,viola,stim_65_viola,centroid,923.7635203737078,65,349.22823143300394,186.09577758573585
20,viola,stim_66_viola,centroid,1262.4894016301246,66,369.9944227116344,497.8290928867659
21,viola,stim_67_viola,centroid,1370.6905792469374,67,391.9954359817492,577.4326430517876
22,viola,stim_68_viola,centroid,1392.189289772673,68,415.3046975799452,568.6332227061138
23,viola,stim_69_viola,centroid,1298.6637336745837,69,440.0,443.0079151216985
24,viola,stim_70_viola,centroid,1393.2388400268762,70,466.1637615180898,503.57451943612386
25,viola,stim_71_viola,centroid,1427.368084906249,71,493.88330125612424,501.6730115119328
26,viola,stim_72_viola,centroid,1076.6739119586175,72,523.2511306011972,112.80558570694348
27,viola,stim_73_viola,centroid,1021.4568909303696,73,554.3652619537442,17.14541208467915
28,viola,stim_74_viola,centroid,1166.843770695374,74,587.3295358348153,119.68426425678149
29,viola,stim_75_viola,centroid,1241.882611177591,75,622.2539674441618,149.32720083823028
30,viola,stim_76_viola,centroid,1839.4132283923248,76,659.2551138257397,698.7625332350192
31,viola,stim_77_viola,centroid,1942.0581686780893,77,698.4564628660079,750.4522942434719
32,viola,stim_78_viola,centroid,2061.009193133259,78,739.9888454232688,815.4181867878683
33,viola,stim_79_viola,centroid,2248.0019145010574,79,783.9908719634984,945.2156532520844
34,viola,stim_80_viola,centroid,2364.6489903461884,80,830.6093951598904,1001.2664673543966
35,viola,stim_81_viola,centroid,2449.4095530865325,81,880.0,1021.8275271220887
36,viola,stim_82_viola,centroid,2654.5602788454144,82,932.3275230361796,1158.9612488052362
37,viola,stim_83_viola,centroid,2928.39844309048,83,987.7666025122484,1360.7379074431747
38,viola,stim_84_viola,centroid,2304.8131359878016,84,1046.5022612023945,660.8060946257801
39,viola,stim_85_viola,centroid,2306.8208531284454,85,1108.7305239074883,581.9275065783911
40,viola,stim_86_viola,centroid,2458.1684703418505,86,1174.6590716696303,647.5790686059925
41,viola,stim_87_viola,centroid,2230.063093702184,87,1244.5079348883237,328.6818841647894
42,viola,stim_88_viola,centroid,2579.5010754431005,88,1318.5102276514797,581.929296269816
43,viola,stim_89_viola,centroid,2641.9355528135275,89,1396.9129257320158,542.4534150856189
44,viola,stim_90_viola,centroid,2732.18574231346,90,1479.9776908465376,524.7333407640058
45,viola,stim_91_viola,centroid,2823.14114456945,91,1567.9817439269968,501.2982332128299
46,viola,stim_92_viola,centroid,3224.0872868065253,92,1661.2187903197807,781.0518519642683
47,viola,stim_93_viola,centroid,3221.434299250841,93,1760.0,649.9998584632799
48,viola,stim_94_viola,centroid,3550.883118403269,94,1864.6550460723593,843.4146694642391
49,viola,stim_95_viola,centroid,3767.6966576251434,95,1975.533205024497,916.1051974718589
50,viola,stim_96_viola,centroid,3816.319902073468,96,2093.004522404789,812.0354304907514
51,viola,stim_97_viola,centroid,4137.372338929271,97,2217.4610478149766,971.3152569704889
52,viola,stim_98_viola,centroid,4306.570388083307,98,2349.318143339261,969.1211957529172
53,viola,stim_99_viola,centroid,4566.015273844404,99,2489.0158697766474,1046.9824659109418
0,harmoniccomplex,stim_100_harmonic,centroid,2930.0224277673738,100,2637.020455302959,-781.3915194378683
1,harmoniccomplex,stim_101_harmonic,centroid,3104.2577328859816,101,2793.8258514640315,-810.9769314285086
2,harmoniccomplex,stim_102_harmonic,centroid,3288.8426197781905,102,2959.955381693075,-842.3325721793922
3,harmoniccomplex,stim_103_harmonic,centroid,3484.405662860325,103,3135.9634878539937,-875.5505487115879
4,harmoniccomplex,stim_104_harmonic,centroid,3691.6010566928926,104,3322.4375806395615,-910.7402018502944
5,harmoniccomplex,stim_105_harmonic,centroid,3911.10548644982,105,3520.0,-948.0337839839758
6,harmoniccomplex,stim_106_harmonic,centroid,4143.673094957679,106,3729.3100921447217,-987.5341917790583
7,harmoniccomplex,stim_107_harmonic,centroid,4390.039485171523,107,3951.066410048992,-1029.4138239937183
8,harmoniccomplex,stim_108_harmonic,centroid,4651.057104473457,108,4186.009044809578,-1073.7822275506496
9,harmoniccomplex,stim_55_harmonic,centroid,217.77523145253343,55,195.99771799087463,-320.71854221570476
10,harmoniccomplex,stim_56_harmonic,centroid,230.71510517156207,56,207.65234878997256,-322.92773393238076
11,harmoniccomplex,stim_57_harmonic,centroid,244.44441482367745,57,220.0,-325.24830002342844
12,harmoniccomplex,stim_58_harmonic,centroid,258.976077353333,58,233.0818807590449,-327.7208885127065
13,harmoniccomplex,stim_59_harmonic,centroid,274.3815796054016,59,246.94165062806212,-330.3307626624197
14,harmoniccomplex,stim_60_harmonic,centroid,290.68678393845835,60,261.6255653005986,-333.11218475804196
15,harmoniccomplex,stim_61_harmonic,centroid,307.97163014981186,61,277.1826309768721,-336.0489148436967
16,harmoniccomplex,stim_62_harmonic,centroid,326.28442095049695,62,293.66476791740763,-339.16013783946255
17,harmoniccomplex,stim_63_harmonic,centroid,345.6883020944158,63,311.1269837220809,-342.4542086459278
18,harmoniccomplex,stim_64_harmonic,centroid,366.2444410292388,64,329.62755691286986,-345.94571212007725
19,harmoniccomplex,stim_65_harmonic,centroid,388.0272341070104,65,349.22823143300394,-349.6405086809616
20,harmoniccomplex,stim_66_harmonic,centroid,411.1048753831016,66,369.9944227116344,-353.55543336025704
21,harmoniccomplex,stim_67_harmonic,centroid,435.55045445799817,67,391.9954359817492,-357.7074817371516
22,harmoniccomplex,stim_68_harmonic,centroid,461.4569690363874,68,415.3046975799452,-362.0990980301718
23,harmoniccomplex,stim_69_harmonic,centroid,488.888818411268,69,440.0,-366.7670001416172
24,harmoniccomplex,stim_70_harmonic,centroid,517.9499457619698,70,466.1637615180898,-371.7143748287825
25,harmoniccomplex,stim_71_harmonic,centroid,548.7672961134759,71,493.88330125612424,-376.92777728084013
26,harmoniccomplex,stim_72_harmonic,centroid,581.3893236082265,72,523.2511306011972,-382.47900264344753
27,harmoniccomplex,stim_73_harmonic,centroid,615.9707213583673,73,554.3652619537442,-388.3407574873231
28,harmoniccomplex,stim_74_harmonic,centroid,652.5975840374937,74,587.3295358348153,-394.56192240109874
29,harmoniccomplex,stim_75_harmonic,centroid,691.3927114176703,75,622.2539674441618,-401.1626989216903
30,harmoniccomplex,stim_76_harmonic,centroid,732.5052463353079,76,659.2551138257397,-408.14544882199766
31,harmoniccomplex,stim_77_harmonic,centroid,776.0639057952081,77,698.4564628660079,-415.5419686394092
32,harmoniccomplex,stim_78_harmonic,centroid,822.2097846995266,78,739.9888454232688,-423.3812216458641
33,harmoniccomplex,stim_79_harmonic,centroid,871.1009248219575,79,783.9908719634984,-431.6853364270155
34,harmoniccomplex,stim_80_harmonic,centroid,922.893221908522,80,830.6093951598904,-440.48930108326977
35,harmoniccomplex,stim_81_harmonic,centroid,977.7776372641002,81,880.0,-449.80438870034357
36,harmoniccomplex,stim_82_harmonic,centroid,1035.9281728334408,82,932.3275230361796,-459.6708572067373
37,harmoniccomplex,stim_83_harmonic,centroid,1097.5192409191195,83,987.7666025122484,-470.14129472818604
