channel,mean_slab_kemar,mean_slab_kemar_2,pct_diff,cohens_d,p_value,significant_p05
0,0.127853,0.127599,-0.20,-0.019,0.847339,False
1,0.124396,0.123768,-0.51,-0.056,0.577815,False
2,0.133834,0.132611,-0.91,-0.125,0.212775,False
3,0.116175,0.115750,-0.37,-0.057,0.567624,False
4,0.114408,0.114218,-0.17,-0.023,0.82137,False
5,0.113575,0.112541,-0.91,-0.133,0.184324,False
6,0.097783,0.097220,-0.58,-0.081,0.41778,False
7,0.096505,0.096714,0.22,0.029,0.771726,False
8,0.094420,0.094480,0.06,0.009,0.931713,False
9,0.099567,0.099484,-0.08,-0.013,0.898725,False
10,0.097307,0.097265,-0.04,-0.006,0.949333,False
11,0.101717,0.101816,0.10,0.015,0.884032,False
12,0.111449,0.111865,0.37,0.056,0.578638,False
13,0.116475,0.117385,0.78,0.108,0.281895,False
14,0.108579,0.108797,0.20,0.035,0.724775,False
15,0.108204,0.108332,0.12,0.026,0.79331,False
16,0.120443,0.120556,0.09,0.024,0.807285,False
17,0.138055,0.138252,0.14,0.045,0.655383,False
18,0.127711,0.127854,0.11,0.032,0.748033,False
19,0.140141,0.140848,0.51,0.126,0.209009,False
20,0.152777,0.153654,0.57,0.153,0.128714,False
21,0.147945,0.148608,0.45,0.120,0.232365,False
22,0.130213,0.130165,-0.04,-0.010,0.923465,False
23,0.130516,0.130564,0.04,0.009,0.927841,False
24,0.125883,0.125785,-0.08,-0.019,0.85345,False
25,0.089303,0.089229,-0.08,-0.018,0.860311,False
26,0.009398,0.009291,-1.14,-0.104,0.300357,False
27,0.009590,0.009481,-1.15,-0.100,0.317201,False
28,0.009446,0.009357,-0.95,-0.083,0.405662,False
29,0.009622,0.009488,-1.39,-0.117,0.243095,False
30,0.009794,0.009694,-1.02,-0.083,0.410432,False
31,0.009923,0.009798,-1.26,-0.103,0.305132,False
32,0.011046,0.010920,-1.13,-0.085,0.394504,False
33,0.012570,0.012445,-1.00,-0.077,0.440203,False
34,0.012942,0.012886,-0.43,-0.037,0.711209,False
35,0.013508,0.013426,-0.61,-0.054,0.591056,False
36,0.015677,0.015589,-0.56,-0.049,0.628689,False
37,0.018700,0.018709,0.05,0.005,0.960217,False
38,0.000221,0.000244,10.43,0.033,0.739931,False
