condition,midi,band,center_freq_hz,level_db
flute,97,0,253.76368639181615,-10.358915840661984
flute,97,1,478.8279082512245,-0.6662881162368418
flute,97,2,809.6269994405562,5.244929789390103
flute,97,3,1294.4969002249193,15.034764766950913
flute,97,4,2005.9415210019752,63.84233017183814
flute,97,5,3049.6957311016477,55.69221045181238
flute,97,6,4580.83733887449,37.30652784058894
flute,97,7,6826.94806306872,34.84328390797559
flute,97,8,10122.85498989576,27.229301011154178
flute,97,9,14957.456015162068,16.12885556370957
flute,83,0,253.76368639181615,-1.6156603363483324
flute,83,1,478.8279082512245,14.390648344787103
flute,83,2,809.6269994405562,60.02121264679742
flute,83,3,1294.4969002249193,57.82054147980362
flute,83,4,2005.9415210019752,40.35287488370485
flute,83,5,3049.6957311016477,42.75652099006304
flute,83,6,4580.83733887449,29.203984438776757
flute,83,7,6826.94806306872,26.32737331389665
flute,83,8,10122.85498989576,25.395002037957557
flute,83,9,14957.456015162068,12.634872871329982
flute,107,0,253.76368639181615,-5.871419173908681
flute,107,1,478.8279082512245,-8.4814760519989
flute,107,2,809.6269994405562,-3.460959888868783
flute,107,3,1294.4969002249193,5.860399671213042
flute,107,4,2005.9415210019752,7.851924044330936
flute,107,5,3049.6957311016477,58.85364630201896
flute,107,6,4580.83733887449,62.6824614376708
flute,107,7,6826.94806306872,36.16688619415808
flute,107,8,10122.85498989576,35.62889630568765
flute,107,9,14957.456015162068,32.25630050211181
flute,66,0,253.76368639181615,52.551463642967455
flute,66,1,478.8279082512245,54.6681283544703
flute,66,2,809.6269994405562,53.852538529521816
flute,66,3,1294.4969002249193,55.17859093130716
flute,66,4,2005.9415210019752,49.467395243547315
flute,66,5,3049.6957311016477,36.28904321977168
flute,66,6,4580.83733887449,24.976553243898714
flute,66,7,6826.94806306872,17.489717623922914
flute,66,8,10122.85498989576,17.79599343108553
flute,66,9,14957.456015162068,7.590348940897633
flute,72,0,253.76368639181615,7.989958754221847
flute,72,1,478.8279082512245,60.394858562240415
flute,72,2,809.6269994405562,49.444685018522534
flute,72,3,1294.4969002249193,52.97198116064913
flute,72,4,2005.9415210019752,50.94026765810868
flute,72,5,3049.6957311016477,27.84523591643132
flute,72,6,4580.83733887449,24.728558537912846
flute,72,7,6826.94806306872,17.9216683229879
flute,72,8,10122.85498989576,17.39359649652475
flute,72,9,14957.456015162068,4.807272070998368
flute,101,0,253.76368639181615,-7.762249879989797
flute,101,1,478.8279082512245,-8.66318653137425
flute,101,2,809.6269994405562,4.670497819177944
flute,101,3,1294.4969002249193,6.201535298759574
flute,101,4,2005.9415210019752,54.320262670156
flute,101,5,3049.6957311016477,63.625191749723406
flute,101,6,4580.83733887449,34.6821285327556
flute,101,7,6826.94806306872,36.331705347472464
flute,101,8,10122.85498989576,33.24544361491688
flute,101,9,14957.456015162068,21.850513343844572
flute,79,0,253.76368639181615,17.244042035524878
flute,79,1,478.8279082512245,35.69881774563723
flute,79,2,809.6269994405562,54.53360999755658
flute,79,3,1294.4969002249193,57.006336443234524
flute,79,4,2005.9415210019752,56.518200532429724
flute,79,5,3049.6957311016477,47.86314261658863
flute,79,6,4580.83733887449,29.172229899077486
flute,79,7,6826.94806306872,24.830355324015414
flute,79,8,10122.85498989576,26.3566769207891
flute,79,9,14957.456015162068,16.110162279606886
flute,91,0,253.76368639181615,0.4112035015717609
flute,91,1,478.8279082512245,5.0126308191005196
flute,91,2,809.6269994405562,9.43693654469586
flute,91,3,1294.4969002249193,62.21693365324392
flute,91,4,2005.9415210019752,60.336928295089784
flute,91,5,3049.6957311016477,36.71585276360745
flute,91,6,4580.83733887449,34.634253933522274
flute,91,7,6826.94806306872,27.607933445133078
flute,91,8,10122.85498989576,16.74624497425774
flute,91,9,14957.456015162068,13.529811116173974
flute,58,0,253.76368639181615,54.42707823761659
flute,58,1,478.8279082512245,56.01101652336985
flute,58,2,809.6269994405562,48.58587566566623
flute,58,3,1294.4969002249193,49.51065998162373
flute,58,4,2005.9415210019752,43.71256055604598
flute,58,5,3049.6957311016477,30.022024451510806
flute,58,6,4580.83733887449,22.70089542278635
flute,58,7,6826.94806306872,15.888226547407795
flute,58,8,10122.85498989576,15.836249233118053
flute,58,9,14957.456015162068,2.867061376081833
flute,85,0,253.76368639181615,2.888417407558336
flute,85,1,478.8279082512245,5.518850223018887
flute,85,2,809.6269994405562,59.296518080524045
flute,85,3,1294.4969002249193,63.8770454963515
flute,85,4,2005.9415210019752,34.792695253394356
flute,85,5,3049.6957311016477,34.892657245121576
flute,85,6,4580.83733887449,29.004589033400592
flute,85,7,6826.94806306872,17.307506703068977
flute,85,8,10122.85498989576,15.077619134588387
flute,85,9,14957.456015162068,2.5083334251368834
flute,60,0,253.76368639181615,54.05385003191586
flute,60,1,478.8279082512245,55.851655990925764
flute,60,2,809.6269994405562,48.88790973659458
flute,60,3,1294.4969002249193,49.2616103548124
flute,60,4,2005.9415210019752,45.54951688167773
flute,60,5,3049.6957311016477,31.72589805125196
flute,60,6,4580.83733887449,24.012363882910396
flute,60,7,6826.94806306872,17.12101304143626
flute,60,8,10122.85498989576,16.52832272304859
flute,60,9,14957.456015162068,6.064201071852564
flute,74,0,253.76368639181615,3.4661867924078744
flute,74,1,478.8279082512245,59.01088195986695
flute,74,2,809.6269994405562,55.52738494258853
flute,74,3,1294.4969002249193,48.82730021277305
flute,74,4,2005.9415210019752,53.05803937295005
flute,74,5,3049.6957311016477,29.240796838016685
flute,74,6,4580.83733887449,25.349547893325706
flute,74,7,6826.94806306872,19.795531569107037
flute,74,8,10122.85498989576,17.690347883866767
flute,74,9,14957.456015162068,9.61599782999905
flute,55,0,253.76368639181615,55.80157998434742
flute,55,1,478.8279082512245,54.96088116303145
flute,55,2,809.6269994405562,49.80672710680936
flute,55,3,1294.4969002249193,47.65821214965486
flute,55,4,2005.9415210019752,35.65982405189776
flute,55,5,3049.6957311016477,24.84567996628519
flute,55,6,4580.83733887449,18.8164202318675
flute,55,7,6826.94806306872,15.690713689828765
flute,55,8,10122.85498989576,9.5703333981903
flute,55,9,14957.456015162068,1.4427890270244634
flute,88,0,253.76368639181615,-2.0724394868714304
flute,88,1,478.8279082512245,5.1987870495839665
flute,88,2,809.6269994405562,18.90435460039083
flute,88,3,1294.4969002249193,64.15106456522626
flute,88,4,2005.9415210019752,41.062274528771916
flute,88,5,3049.6957311016477,36.518396514438024
flute,88,6,4580.83733887449,34.159160752972
flute,88,7,6826.94806306872,23.50610660042525
flute,88,8,10122.85498989576,16.973553233079535
flute,88,9,14957.456015162068,8.38194155344165
flute,82,0,253.76368639181615,0.3583990308851593
flute,82,1,478.8279082512245,14.684754618418367
flute,82,2,809.6269994405562,61.373182316942376
flute,82,3,1294.4969002249193,55.52498145714874
flute,82,4,2005.9415210019752,40.68700778761983
flute,82,5,3049.6957311016477,42.457246387660035
flute,82,6,4580.83733887449,29.506902469053248
flute,82,7,6826.94806306872,25.733288195920125
flute,82,8,10122.85498989576,24.875898457787766
flute,82,9,14957.456015162068,10.467046011344719
flute,96,0,253.76368639181615,-9.463542904093732
flute,96,1,478.8279082512245,1.9341911461007923
flute,96,2,809.6269994405562,6.3993043159818175
flute,96,3,1294.4969002249193,19.07791352090547
flute,96,4,2005.9415210019752,64.03156393652642
flute,96,5,3049.6957311016477,48.217952338064364
flute,96,6,4580.83733887449,36.92238905122728
flute,96,7,6826.94806306872,34.58637148882903
flute,96,8,10122.85498989576,25.9118848782039
flute,96,9,14957.456015162068,15.855214159322507
flute,106,0,253.76368639181615,-1.827798852135667
flute,106,1,478.8279082512245,-10.635604644944571
flute,106,2,809.6269994405562,-0.3723635634937675
flute,106,3,1294.4969002249193,5.745616838902356
flute,106,4,2005.9415210019752,10.976144959983351
flute,106,5,3049.6957311016477,61.05871986815194
flute,106,6,4580.83733887449,60.8792693777217
flute,106,7,6826.94806306872,37.04775079948657
flute,106,8,10122.85498989576,34.912498747337565
flute,106,9,14957.456015162068,30.630536913421214
flute,73,0,253.76368639181615,5.769948165835729
flute,73,1,478.8279082512245,59.477469482421654
flute,73,2,809.6269994405562,52.68324562158091
flute,73,3,1294.4969002249193,51.94817074530248
flute,73,4,2005.9415210019752,53.23944737434361
flute,73,5,3049.6957311016477,28.865635311536742
flute,73,6,4580.83733887449,25.31193600499883
flute,73,7,6826.94806306872,18.88905078800702
flute,73,8,10122.85498989576,17.80270775283458
flute,73,9,14957.456015162068,7.01806491132133
flute,67,0,253.76368639181615,50.64804431181532
flute,67,1,478.8279082512245,55.28063574427765
flute,67,2,809.6269994405562,53.0487391498925
flute,67,3,1294.4969002249193,55.35265573146891
