condition,midi,f0_hz,elevation,dry_centroid_hz,filtered_centroid_hz,centroid_shift_hz,n_harmonics_found,harmonic_attenuation_db,between_harmonic_attenuation_db,between_minus_harmonic_db,top_notch_1_hz,top_notch_2_hz,mean_notch_harmonic_dist_hz,min_notch_harmonic_dist_hz,mean_notch_misalignment_ratio,n_notches_on_harmonic,n_notches_between_harmonics
flute,55,197.02185439918588,-25.0,2290.483061779699,2044.158707129723,-246.3243546499757,12,-57.08258517070658,-54.67882743240154,2.403757738305039,2028.082191780822,1812.328767123288,2641.8336633133563,15.401929045377074,26.81767128189484,1,20
flute,55,197.02185439918588,-12.5,2290.483061779699,2083.0790624452734,-207.4039993344254,12,-78.22044290120743,-54.40389412353603,23.816548777671407,2243.8356164383563,1812.328767123288,2046.7117309570317,15.401929045377074,20.776494437111428,1,15
flute,55,197.02185439918588,0.0,2290.483061779699,2031.2886327720864,-259.19442900761237,12,-95.98757408030373,-82.09831566886511,13.889258411438618,2200.6849315068494,1812.328767123288,1706.1780119595467,14.643420911815156,17.319682805366963,2,10
flute,55,197.02185439918588,12.5,2290.483061779699,1986.952480047193,-303.5305817325059,12,-78.77882399382528,-67.62342096588813,11.155403027937155,2200.6849315068494,1898.6301369863015,1878.1489124036818,15.401929045377074,19.065386610343896,1,13
flute,55,197.02185439918588,25.0,2290.483061779699,1885.0118838595092,-405.4711779201896,12,-71.95719096639532,-59.007279055020106,12.94991191137521,2243.8356164383563,2545.8904109589043,2180.697339201627,28.507264019691547,22.136603534177656,1,13
flute,56,208.6530579567762,-25.0,3009.117864948667,2377.304701814404,-631.813163134263,12,-51.5092701159919,-54.45019121023331,-2.9409210942414035,2028.082191780822,1812.328767123288,2530.9851241438355,4.88816352739741,24.260225552679373,1,20
flute,56,208.6530579567762,-12.5,3009.117864948667,2429.9964384814148,-579.1214264672521,12,-62.1934267419291,-55.55755856489457,6.635868177034531,2243.8356164383563,1812.328767123288,1944.9623421446922,4.88816352739741,18.643027436938915,1,15
flute,56,208.6530579567762,0.0,3009.117864948667,2366.701342858963,-642.4165220897039,12,-78.18150825115417,-82.14232158146618,-3.960813330312007,2200.6849315068494,1812.328767123288,1631.5509952910961,61.05990475171211,15.63888889305502,0,12
flute,56,208.6530579567762,12.5,3009.117864948667,2281.41259993653,-727.7052650121368,12,-55.70117480657732,-74.2047516958664,-18.503576889289086,2200.6849315068494,1898.6301369863015,1784.7229840004281,4.88816352739741,17.107086773395338,2,12
flute,56,208.6530579567762,25.0,3009.117864948667,2218.6722174995953,-790.4456474490717,12,-84.07690840849124,-67.06336869109026,17.013539717400974,2243.8356164383563,2545.8904109589043,2072.441372806079,48.03884845890434,19.864950872039447,0,14
flute,57,221.238642721622,-25.0,2864.5386783790095,2282.285449417803,-582.2532289612063,12,-50.09888123244835,-50.71771896319815,-0.618837730749803,2028.082191780822,1812.328767123288,2417.3674282962324,16.3922035530818,21.853030723370825,1,20
flute,57,221.238642721622,-12.5,2864.5386783790095,2378.245847396368,-486.2928309826416,12,-62.005903480962026,-73.57081616743393,-11.564912686471907,2243.8356164383563,1812.328767123288,1840.893972736516,36.260902718322086,16.641703728519595,0,16
flute,57,221.238642721622,0.0,2864.5386783790095,2254.575638258009,-609.9630401210006,12,-83.56651478496806,-65.4433681700949,18.123146614873164,2200.6849315068494,1812.328767123288,1522.8595890410961,6.4683888056506476,13.766669062034206,2,10
flute,57,221.238642721622,12.5,2864.5386783790095,2222.9984267806294,-641.5402515983801,12,-53.650166439597506,-91.7995470359816,-38.1493805963841,2200.6849315068494,1898.6301369863015,1688.4571650256853,6.4683888056506476,15.263673147283049,1,13
flute,57,221.238642721622,25.0,2864.5386783790095,2159.1944220086298,-705.3442563703798,12,-63.10435826398466,-63.973878278227886,-0.8695200142432284,2243.8356164383563,2545.8904109589043,1965.4240020333907,36.68229612585628,17.767456696129035,0,14
flute,72,525.0311597793236,-25.0,3534.0106017421485,2635.138095181545,-898.8725065606036,12,-43.93537405079321,-39.573018458186134,4.362355592607074,2028.082191780822,1812.328767123288,696.5382197131852,3.602913634417746,2.6533214524103594,3,18
flute,72,525.0311597793236,-12.5,3534.0106017421485,2760.7538363743565,-773.256765367792,12,-42.723172244786774,-37.20177256728022,5.521399677506551,2243.8356164383563,1812.328767123288,425.17146280367103,31.85734160958873,1.6196046839672344,0,16
flute,72,525.0311597793236,0.0,3534.0106017421485,2666.8830295704925,-867.1275721716561,12,-59.29088308398241,-39.27913658179198,20.011746502190427,2200.6849315068494,1812.328767123288,564.2914236408392,13.358171018835492,2.149554033623517,2,10
flute,72,525.0311597793236,12.5,3534.0106017421485,2521.1098394118876,-1012.9007623302609,12,-48.357648654832495,-43.350099493411264,5.007549161421231,2200.6849315068494,1898.6301369863015,583.5169962007707,13.358171018835492,2.2227899633462873,1,13
flute,72,525.0311597793236,25.0,3534.0106017421485,2402.6926988414625,-1131.317902900686,12,-52.43058260635748,-48.51013489158768,3.9204477147698,2243.8356164383563,2545.8904109589043,553.6898678296235,20.079395869006476,2.109169551240903,1,13
flute,73,555.0342790539481,-25.0,3598.2001675078186,2645.1395190383846,-953.060648469434,12,-40.58088814572165,-40.76095805534357,-0.1800699096219205,2028.082191780822,1812.328767123288,607.7225358518837,2.08589736729391,2.1898558657953244,2,19
flute,73,555.0342790539481,-12.5,3598.2001675078186,2745.0335194235386,-853.16664808428,12,-49.248957198841914,-37.372862691154175,11.876094507687739,2243.8356164383563,1812.328767123288,350.3412116063786,4.277143086472279,1.2624128808892043,2,14
flute,73,555.0342790539481,0.0,3598.2001675078186,2594.834135921667,-1003.3660315861516,12,-48.83636120213712,-38.633214331710306,10.203146870426814,2200.6849315068494,1812.328767123288,499.1176657480739,17.234990368150648,1.7985111355601902,1,11
flute,73,555.0342790539481,12.5,3598.2001675078186,2527.4272824333475,-1070.772885074471,12,-56.001847385492994,-42.289740663933635,13.712106721559358,2200.6849315068494,1898.6301369863015,526.3655153039384,17.234990368150648,1.8966955201438174,1,13
flute,73,555.0342790539481,25.0,3598.2001675078186,2399.939294682207,-1198.2608728256114,12,-45.110854606565674,-53.378183950602995,-8.267329344037321,2243.8356164383563,2545.8904109589043,492.39970168022273,25.915694563356283,1.774303751182772,1,13
flute,74,587.9211272117641,-25.0,3980.039057394526,2772.586719971565,-1207.4523374229611,12,-40.87385115605167,-41.29925123545931,-0.4254000794076376,2028.082191780822,1812.328767123288,497.8953740368151,13.526728381849352,1.6937488754591992,2,19
flute,74,587.9211272117641,-12.5,3980.039057394526,2833.1607056614052,-1146.8783517331208,12,-45.242913417939604,-38.22776228446365,7.015151133475953,2243.8356164383563,1812.328767123288,269.69836509391075,15.401929045377074,0.9174644441609521,2,14
flute,74,587.9211272117641,0.0,3980.039057394526,2690.8272590040283,-1289.2117983904977,12,-41.24502249554444,-39.0469889863642,2.1980335091802417,2200.6849315068494,1812.328767123288,431.4910470622861,15.401929045377074,1.46785351670775,1,11
flute,74,587.9211272117641,12.5,3980.039057394526,2637.3630934073212,-1342.6759639872048,12,-48.86481213211463,-44.360558812623545,4.5042533194910845,2200.6849315068494,1898.6301369863015,452.0813824379282,15.401929045377074,1.5378980666401272,1,13
flute,74,587.9211272117641,25.0,3980.039057394526,2533.8128662747845,-1446.2261911197415,12,-53.88918731815739,-40.29502832092737,13.594158997230018,2243.8356164383563,2545.8904109589043,430.8867990154112,29.623956549658033,1.4657979755172483,1,13
flute,89,1401.2064399308622,-25.0,4176.906209953475,2722.798562851313,-1454.107647102162,12,-48.38416195787921,-45.423101502312356,2.9610604555668516,2028.082191780822,1812.328767123288,314.91933326198637,2.8865448416099753,0.4494974106421107,2,19
flute,89,1401.2064399308622,-12.5,4176.906209953475,3063.471350610905,-1113.4348593425698,12,-45.23980540618436,-44.65521038352188,0.5845950226624765,2243.8356164383563,1812.328767123288,369.13535758240585,45.74225438784197,0.5268821881815211,0,16
flute,89,1401.2064399308622,0.0,4176.906209953475,2856.8679093387886,-1320.0383006146862,12,-49.66936215780069,-46.27069698082601,3.3986651769746814,2200.6849315068494,1812.328767123288,395.07563342786807,2.591569456335492,0.5639078185329519,1,11
flute,89,1401.2064399308622,12.5,4176.906209953475,2708.6468026477446,-1468.2594073057303,12,-50.09346431674343,-47.214163017586586,2.879301299156843,2200.6849315068494,1898.6301369863015,363.5330827268836,2.591569456335492,0.5188858291927647,1,13
flute,89,1401.2064399308622,25.0,4176.906209953475,2412.049951742481,-1764.856258210994,12,-48.09184067953944,-45.4622742076204,2.629566471919034,2243.8356164383563,2545.8904109589043,426.48173293022256,45.74225438784197,0.6087350454245213,0,14
flute,90,1483.7730049337786,-25.0,3954.6415923896275,2637.3084754799506,-1317.3331169096768,12,-53.66099961037671,-47.974727704393175,5.6862719059835385,2028.082191780822,1812.328767123288,395.3984508775684,2.08589736729391,0.5329635322422048,1,20
flute,90,1483.7730049337786,-12.5,3954.6415923896275,2951.906871726592,-1002.7347206630357,12,-48.0418669622295,-46.912921815786675,1.128945146442824,2243.8356164383563,1812.328767123288,403.08386397688355,68.41321971318575,0.5433228164100119,0,16
flute,90,1483.7730049337786,0.0,3954.6415923896275,2658.1147756076684,-1296.526816781959,12,-46.39253676714866,-48.47335077577341,-2.080814008624749,2200.6849315068494,1812.328767123288,354.618354692851,17.888150149828107,0.4779954258686326,1,11
flute,90,1483.7730049337786,12.5,3954.6415923896275,2445.958470267537,-1508.6831221220905,12,-49.48857491752034,-46.64971535500967,2.8388595625106703,2200.6849315068494,1898.6301369863015,351.4014675192636,33.60612425085492,0.4736593351554429,0,14
flute,90,1483.7730049337786,25.0,3954.6415923896275,2294.38208990719,-1660.2595024824373,12,-48.017268328868376,-50.13093431271661,-2.113665983848236,2243.8356164383563,2545.8904109589043,399.6796072345892,69.71953927654113,0.5387341674307211,0,14
flute,91,1574.4985676692183,-25.0,3668.3558287553587,2549.1852215812482,-1119.1706071741105,12,-49.74122378183588,-44.63674040385682,5.104483377979058,2028.082191780822,1812.328767123288,469.00584599743144,92.45371361301386,0.5957526486565385,0,21
flute,91,1574.4985676692183,-12.5,3668.3558287553587,2753.711961825076,-914.6438669302829,12,-46.779554042172485,-46.322926507893605,0.4566275342788799,2243.8356164383563,1812.328767123288,440.083522012789,38.57856645975971,0.5590141916283341,0,16
flute,91,1574.4985676692183,0.0,3668.3558287553587,2540.754632267252,-1127.6011964881068,12,-52.797312290521944,-47.17114107552221,5.6261712149997365,2200.6849315068494,1812.328767123288,445.1319028253422,131.03228007277357,0.5654268755344573,0,12
flute,91,1574.4985676692183,12.5,3668.3558287553587,2331.6128847384016,-1336.7429440169572,12,-49.21813584221602,-46.788443662990296,2.429692179225725,2200.6849315068494,1898.6301369863015,425.78492883133555,36.998341181506476,0.5408514654435526,0,14
flute,91,1574.4985676692183,25.0,3668.3558287553587,2187.952751589225,-1480.4030771661337,12,-50.75867065117166,-45.10447332704881,5.654197324122855,2243.8356164383563,2545.8904109589043,363.9213666523971,30.845997431506476,0.4622695429836076,0,14
flute,106,1869.009716392972,-25.0,6713.089405506232,4351.104993912575,-2361.9844115936567,11,-60.25879826909331,-52.52347325681723,7.735325012276078,2028.082191780822,1812.328767123288,449.2625615368149,10.576974529109066,0.48074930547054934,2,19
flute,106,1869.009716392972,-12.5,6713.089405506232,4382.676217688701,-2330.4131878175303,11,-50.506305758191154,-47.448483183050556,3.057822575140598,2243.8356164383563,1812.328767123288,414.3864252795911,17.719592786814246,0.4434288614393308,3,13
flute,106,1869.009716392972,0.0,6713.089405506232,4325.72516665892,-2387.3642388473118,11,-50.18814208494023,-47.62166590780214,2.5664761771380924,2200.6849315068494,1812.328767123288,430.86598017444334,18.098846853596115,0.46106339244290034,2,10
flute,106,1869.009716392972,12.5,6713.089405506232,4338.564918068505,-2374.5244874377267,11,-48.28235436547973,-52.48033083729501,-4.197976471815274,2200.6849315068494,1898.6301369863015,525.7364351455478,57.54126979880152,0.5625828806927489,0,14
flute,106,1869.009716392972,25.0,6713.089405506232,4270.969105194772,-2442.1203003114597,11,-50.24080879605686,-50.27063121257477,-0.02982241651790929,2243.8356164383563,2545.8904109589043,389.3780433968322,7.521872324487049,0.4166677572423736,3,11
flute,107,1980.3649296950643,-25.0,7132.675683051501,4742.581184152175,-2390.094498899326,11,-48.19782233040156,-50.56657413671961,-2.368751806318052,2028.082191780822,1812.328767123288,460.9381688784247,25.494301155822086,0.4655083131061099,1,20
flute,107,1980.3649296950643,-12.5,7132.675683051501,4746.256680813794,-2386.419002237707,11,-49.7037671516761,-49.27322879977848,0.43053835189761713,2243.8356164383563,1812.328767123288,420.5677398263591,25.494301155822086,0.42473761630500895,1,15
flute,107,1980.3649296950643,0.0,7132.675683051501,4676.275966748276,-2456.3997163032254,11,-46.11813531492613,-51.229925513684066,-5.111790198757937,2200.6849315068494,1812.328767123288,420.7911661226456,17.656383775684844,0.4249632578450466,1,11
flute,107,1980.3649296950643,12.5,7132.675683051501,4731.287008733816,-2401.3886743176854,11,-49.19036694716355,-48.914633576350276,0.27573337081327054,2200.6849315068494,1898.6301369863015,451.01585910744876,103.95775363869848,0.4554876248761848,0,14
flute,107,1980.3649296950643,25.0,7132.675683051501,4524.315654970451,-2608.3600280810506,11,-49.604571292152976,-46.80902949266145,2.7955417994915237,2243.8356164383563,2545.8904109589043,472.1156290132704,60.80706870719155,0.4767965963585979,0,14
flute,108,1397.1279068757387,-25.0,6228.655010315896,4880.226842639883,-1348.428167676013,12,-47.27458083544834,-45.68721117747976,1.5873696579685799,2028.082191780822,1812.328767123288,315.15711954195206,18.646658283390025,0.451149988474151,1,20
flute,108,1397.1279068757387,-12.5,6228.655010315896,4804.316606790708,-1424.3384035251884,12,-44.6876877128557,-45.74158627727383,-1.0538985644181338,2243.8356164383563,1812.328767123288,365.7707945941246,45.74225438784197,0.5236038773458649,0,16
flute,108,1397.1279068757387,0.0,6228.655010315896,4719.3009029096165,-1509.3541074062796,12,-50.30159238749959,-46.65590371931449,3.6456886681851017,2200.6849315068494,1812.328767123288,390.58954944349307,2.591569456335492,0.5591321274469859,1,11
flute,108,1397.1279068757387,12.5,6228.655010315896,4666.521410205424,-1562.133600110472,12,-47.5252978110876,-46.35677307773663,1.1685247333509707,2200.6849315068494,1898.6301369863015,368.9163835081336,2.591569456335492,0.5281068135459486,1,13
flute,108,1397.1279068757387,25.0,6228.655010315896,4485.285500952804,-1743.3695093630922,12,-47.60802808593803,-45.059558041377414,2.5484700445606165,2243.8356164383563,2545.8904109589043,423.17228970462304,45.74225438784197,0.6057745860232969,0,14
viola,55,196.2152802863965,-25.0,1074.7196656476663,1960.1476838434505,885.4280181957843,12,-56.85555855589114,-55.22695342839483,1.6286051274963143,2028.082191780822,1812.328767123288,2642.8590539383563,15.401929045377074,26.93836127421708,1,20
viola,55,196.2152802863965,-12.5,1074.7196656476663,1953.132436278544,878.4127706308777,12,-76.79030896164065,-55.144112254495376,21.646196707145272,2243.8356164383563,1812.328767123288,2048.057556152344,15.401929045377074,20.875617364386628,1,15
viola,55,196.2152802863965,0.0,1074.7196656476663,1907.4236805181558,832.7040148704896,12,-95.01709392221026,-84.36907343917561,10.648020483034657,2200.6849315068494,1812.328767123288,1707.9724455532967,15.401929045377074,17.409168573011584,2,10
viola,55,196.2152802863965,12.5,1074.7196656476663,1876.8467974807684,802.1271318331021,12,-77.69461981413934,-67.49382020035185,10.200799613787495,2200.6849315068494,1898.6301369863015,1878.1489124036818,15.401929045377074,19.143757913882435,1,13
viola,55,196.2152802863965,25.0,1074.7196656476663,1851.0719758724345,776.3523102247682,12,-72.25198880905552,-59.997184123210786,12.254804685844732,2243.8356164383563,2545.8904109589043,2180.697339201627,17.740662457191547,22.227599563282467,1,13
viola,56,207.343327775811,-25.0,1243.9651126987083,1992.8361173741962,748.8710046754879,12,-51.422623391210124,-54.459118521163965,-3.036495129953842,2028.082191780822,1812.328767123288,2529.9597335188355,4.88816352739741,24.403579904479425,1,20
viola,56,207.343327775811,-12.5,1243.9651126987083,1982.9301489948905,738.9650362961822,12,-61.404984790946806,-53.82009475995103,7.584890030995773,2243.8356164383563,1812.328767123288,1943.6165169493797,4.88816352739741,18.747808649535187,1,15
viola,56,207.343327775811,0.0,1243.9651126987083,1960.1421119539173,716.176999255209,12,-76.01671051176203,-79.61153424957227,-3.594823737810245,2200.6849315068494,1812.328767123288,1629.7565616973461,39.52670162671211,15.720366593705998,0,12
viola,56,207.343327775811,12.5,1243.9651126987083,1931.6476574666149,687.6825447679066,12,-55.57322631109303,-71.81598268152067,-16.242756370427635,2200.6849315068494,1898.6301369863015,1787.0301129066781,4.88816352739741,17.237401676497605,1,13
viola,56,207.343327775811,25.0,1243.9651126987083,1931.4465687920383,687.48145609333,12,-87.7269540868043,-64.37124181808814,23.35571226871616,2243.8356164383563,2545.8904109589043,2072.441372806079,39.52670162671211,19.990432246239404,0,14
viola,57,219.5171778403181,-25.0,1323.3984243065006,2063.9015320727685,740.5031077662679,12,-50.50377709653563,-51.23558191139769,-0.7318048148620591,2028.082191780822,1812.328767123288,2417.8801236087324,16.3922035530818,22.029074420477066,2,19
viola,57,219.5171778403181,-12.5,1323.3984243065006,2071.342563025219,747.9441387187185,12,-62.94771165594986,-72.0484107333312,-9.100699077381336,2243.8356164383563,1812.328767123288,1841.5668853341722,27.664477204622926,16.778339658445958,1,15
viola,57,219.5171778403181,0.0,1323.3984243065006,1998.322469942954,674.9240456364535,12,-86.68707879648532,-67.58954226713877,19.097536529346556,2200.6849315068494,1812.328767123288,1521.0651554473461,6.4683888056506476,13.858279068746084,3,9
viola,57,219.5171778403181,12.5,1323.3984243065006,2010.3795204942683,686.9810961877677,12,-54.262973828096335,-89.32745755400848,-35.06448372591214,2200.6849315068494,1898.6301369863015,1687.6881220569353,6.4683888056506476,15.376364972080669,3,11
viola,57,219.5171778403181,25.0,1323.3984243065006,2016.798113508454,693.3996892019534,12,-64.15530564049406,-62.932627217773,1.22267842272106,2243.8356164383563,2545.8904109589043,1966.1930450021407,36.68229612585628,17.913796672735973,0,14
viola,72,523.3522563537086,-25.0,2099.5115205837847,2543.337448534104,443.8259279503195,12,-44.671776280747416,-39.900454401103744,4.771321879643672,2028.082191780822,1812.328767123288,699.4699138484591,5.140999571918201,2.6730367753520143,3,18
viola,72,523.3522563537086,-12.5,2099.5115205837847,2489.889675912626,390.37815532884133,12,-43.21758967248068,-37.717277000706176,5.500312671774502,2243.8356164383563,1812.328767123288,425.22677068840994,11.20906464041127,1.6250117030202296,1,15
viola,72,523.3522563537086,0.0,2099.5115205837847,2475.386348045703,375.87482746191836,12,-58.531177018359934,-39.865029673635824,18.66614734472411,2200.6849315068494,1812.328767123288,565.6539289918666,8.175032106164508,2.161656597920802,1,11
viola,72,523.3522563537086,12.5,2099.5115205837847,2501.3039115724564,401.79239098867174,12,-47.770313248955745,-43.420001602676734,4.35031164627901,2200.6849315068494,1898.6301369863015,586.2229438677228,8.175032106164508,2.240261455838734,1,13
viola,72,523.3522563537086,25.0,2099.5115205837847,2508.027058454098,408.51553787031344,12,-53.97887082893427,-46.66113224922847,7.3177385797057966,2243.8356164383563,2545.8904109589043,554.4589107983735,9.312794306506476,2.1188746358385484,1,13
viola,73,554.9204338335294,-25.0,2188.472369181659,2559.2186393227944,370.7462701411355,12,-40.56430857638757,-40.7793601716072,-0.21505159521963435,2028.082191780822,1812.328767123288,613.6180302868152,19.44730575770609,2.2115531988893906,2,19
viola,73,554.9204338335294,-12.5,2188.472369181659,2538.2317620830922,349.75939290143333,12,-49.239989704470446,-37.40344409411585,11.836545610354598,2243.8356164383563,1812.328767123288,355.05159978997233,22.607756314211656,1.2796486780534893,3,13
viola,73,554.9204338335294,0.0,2188.472369181659,2503.5946263648825,315.1222571832236,12,-48.99207505392075,-38.606549075646655,10.385525978274096,2200.6849315068494,1812.328767123288,499.1176657480739,17.234990368150648,1.7988801107937007,2,10
viola,73,554.9204338335294,12.5,2188.472369181659,2549.6481374783093,361.1757682966504,12,-56.03029830246977,-42.27656849815213,13.753729804317636,2200.6849315068494,1898.6301369863015,527.9036012414384,17.234990368150648,1.9026280852357444,2,12
viola,73,554.9204338335294,25.0,2188.472369181659,2551.751053919812,363.27868473815306,12,-45.042713661189644,-53.5092696759201,-8.466556014730457,2243.8356164383563,2545.8904109589043,493.3959960937501,22.607756314211656,1.778258525047445,2,12
viola,74,587.8578534417251,-25.0,2298.514867302621,2586.4760787539885,287.9612114513675,12,-40.88415327540563,-41.26603540901894,-0.3818821336133098,2028.082191780822,1812.328767123288,499.01005993150693,2.7601268193493524,1.6977235466361744,2,19
