midi,frequency,condition_flute,condition_harmoniccomplex,condition_viola,condition_viola_complex,centroid,rolloff
100,2637.020455302959,True,False,False,False,2656.5570409532233,2647.9848608837974
100,2637.020455302959,False,True,False,False,2930.0224277673738,2638.0
100,2637.020455302959,False,False,True,False,4941.933953341981,7878.395937358147
100,2637.020455302959,False,False,False,True,4655.6101921939735,5255.0
101,2793.8258514640315,True,False,False,False,2813.659765497301,2805.39747013034
101,2793.8258514640315,False,True,False,False,3104.2577328859816,2795.0
101,2793.8258514640315,False,False,True,False,5064.759841253916,8310.475507252926
101,2793.8258514640315,False,False,False,True,4558.54836693846,5550.0
102,2959.955381693075,True,False,False,False,2981.022592404103,2969.4547996272136
102,2959.955381693075,False,True,False,False,3288.8426197781905,2961.0
102,2959.955381693075,False,False,True,False,5545.618509628869,8832.68527918782
102,2959.955381693075,False,False,False,True,4672.847538486734,5881.0
103,3135.9634878539937,True,False,False,False,3155.446364856879,3148.930801955105
103,3135.9634878539937,False,True,False,False,3484.405662860325,3137.0
103,3135.9634878539937,False,False,True,False,5612.706382059201,9312.616142005269
103,3135.9634878539937,False,False,False,True,4969.186199959506,6234.0
104,3322.4375806395615,True,False,False,False,3342.501727782538,3333.91468903437
104,3322.4375806395615,False,True,False,False,3691.6010566928926,3323.0
104,3322.4375806395615,False,False,True,False,6204.505859404564,9906.140201262151
104,3322.4375806395615,False,False,False,True,6051.010560765026,9913.0
105,3520.0,True,False,False,False,3546.081104031587,3534.2735306206328
105,3520.0,False,True,False,False,3911.10548644982,3521.0
105,3520.0,False,False,True,False,6412.856505681459,10456.943047008448
105,3520.0,False,False,False,True,5505.969147623831,6994.0
106,3729.3100921447217,True,False,False,False,3756.3381032403663,3741.9436775887034
106,3729.3100921447217,False,True,False,False,4143.673094957679,3730.0
106,3729.3100921447217,False,False,True,False,6864.628964385143,11068.336848664974
106,3729.3100921447217,False,False,False,True,5610.202292314471,7413.0
107,3951.066410048992,True,False,False,False,3978.0140669650873,3967.8124504989705
107,3951.066410048992,False,True,False,False,4390.039485171523,3952.0
107,3951.066410048992,False,False,True,False,7227.390123095091,11715.367446321845
107,3951.066410048992,False,False,False,True,6010.885245143758,7850.0
108,4186.009044809578,True,False,False,False,4216.1096440280835,4197.184986595174
108,4186.009044809578,False,True,False,False,4651.057104473457,4187.0
108,4186.009044809578,False,False,True,False,7343.705302399725,10397.639785684849
108,4186.009044809578,False,False,False,True,6223.071694077776,8317.0
55,195.99771799087463,True,False,False,False,389.7128599335522,493.0639570447903
55,195.99771799087463,False,True,False,False,217.77523145253343,197.0
55,195.99771799087463,False,False,True,False,302.38788242464614,296.50577973692236
55,195.99771799087463,False,False,False,True,214.4220990073756,197.0
56,207.65234878997256,True,False,False,False,509.1073394458706,731.4796442011632
56,207.65234878997256,False,True,False,False,230.71510517156207,209.0
56,207.65234878997256,False,False,True,False,469.8644432600647,724.4442763372283
56,207.65234878997256,False,False,False,True,383.579616215552,833.0
57,220.0,True,False,False,False,527.4108371100904,881.7408110674081
57,220.0,False,True,False,False,244.44441482367745,221.0
57,220.0,False,False,True,False,520.3587686745325,662.4737012461563
57,220.0,False,False,False,True,519.4698296712176,883.0
58,233.0818807590449,True,False,False,False,574.9372184081371,936.5029177357462
58,233.0818807590449,False,True,False,False,258.976077353333,234.0
58,233.0818807590449,False,False,True,False,526.7344595940659,702.0547867125692
58,233.0818807590449,False,False,False,True,402.71119021377393,702.0
59,246.94165062806212,True,False,False,False,582.4284781414146,744.3417385985183
59,246.94165062806212,False,True,False,False,274.3815796054016,248.0
59,246.94165062806212,False,False,True,False,558.8091544250481,744.3111770838054
59,246.94165062806212,False,False,False,True,448.80416625413056,990.0
60,261.6255653005986,True,False,False,False,587.6282743271504,783.0397598550068
60,261.6255653005986,False,True,False,False,290.68678393845835,263.0
60,261.6255653005986,False,False,True,False,410.6431161451304,524.5662900776994
60,261.6255653005986,False,False,False,True,323.37469197701125,525.0
61,277.1826309768721,True,False,False,False,675.2773350248849,967.0437773892507
61,277.1826309768721,False,True,False,False,307.97163014981186,278.0
61,277.1826309768721,False,False,True,False,455.74387290931816,555.7571628151982
61,277.1826309768721,False,False,False,True,352.2090204384228,552.0
62,293.66476791740763,True,False,False,False,721.8920311727627,1175.9364403886852
62,293.66476791740763,False,True,False,False,326.28442095049695,295.0
62,293.66476791740763,False,False,True,False,453.00786872133017,585.3850818677987
