stimulus,spectral_centroid_hz,elevation,draw_index
stim102_crumpling_paper.wav,5702.642235695911,34.0,1
stim102_crumpling_paper.wav,5702.642235695911,26.0,2
stim102_crumpling_paper.wav,5702.642235695911,36.0,3
stim102_crumpling_paper.wav,5702.642235695911,32.0,4
stim102_crumpling_paper.wav,5702.642235695911,16.0,5
stim102_crumpling_paper.wav,5702.642235695911,44.0,6
stim102_crumpling_paper.wav,5702.642235695911,33.0,7
stim102_crumpling_paper.wav,5702.642235695911,34.0,8
stim102_crumpling_paper.wav,5702.642235695911,17.0,9
stim102_crumpling_paper.wav,5702.642235695911,26.0,10
stim103_crying.wav,3212.1522862966835,12.0,1
stim103_crying.wav,3212.1522862966835,26.0,2
stim103_crying.wav,3212.1522862966835,17.0,3
stim103_crying.wav,3212.1522862966835,22.0,4
stim103_crying.wav,3212.1522862966835,13.0,5
stim103_crying.wav,3212.1522862966835,8.0,6
stim103_crying.wav,3212.1522862966835,15.0,7
stim103_crying.wav,3212.1522862966835,3.0,8
stim103_crying.wav,3212.1522862966835,22.0,9
stim103_crying.wav,3212.1522862966835,17.0,10
stim105_cutting_with_scissors.wav,4000.22591500941,24.0,1
stim105_cutting_with_scissors.wav,4000.22591500941,15.0,2
stim105_cutting_with_scissors.wav,4000.22591500941,34.0,3
stim105_cutting_with_scissors.wav,4000.22591500941,29.0,4
stim105_cutting_with_scissors.wav,4000.22591500941,25.0,5
stim105_cutting_with_scissors.wav,4000.22591500941,11.0,6
stim105_cutting_with_scissors.wav,4000.22591500941,17.0,7
stim105_cutting_with_scissors.wav,4000.22591500941,4.0,8
stim105_cutting_with_scissors.wav,4000.22591500941,10.0,9
stim105_cutting_with_scissors.wav,4000.22591500941,22.0,10
stim107_dial_tone.wav,731.1306696976727,10.0,1
stim107_dial_tone.wav,731.1306696976727,19.0,2
stim107_dial_tone.wav,731.1306696976727,3.0,3
stim107_dial_tone.wav,731.1306696976727,4.0,4
stim107_dial_tone.wav,731.1306696976727,5.0,5
stim107_dial_tone.wav,731.1306696976727,2.0,6
stim107_dial_tone.wav,731.1306696976727,1.0,7
stim107_dial_tone.wav,731.1306696976727,5.0,8
stim107_dial_tone.wav,731.1306696976727,2.0,9
stim107_dial_tone.wav,731.1306696976727,8.0,10
stim108_telephone_dialing.wav,4772.730404789149,21.0,1
stim108_telephone_dialing.wav,4772.730404789149,30.0,2
stim108_telephone_dialing.wav,4772.730404789149,27.0,3
stim108_telephone_dialing.wav,4772.730404789149,18.0,4
