channel,mean_slab_kemar,mean_slab_kemar_2,pct_diff,cohens_d,p_value,significant_p05
0,0.088716,0.087453,-1.42,-0.026,0.795743,False
1,0.087897,0.087897,-0.00,-0.000,0.999965,False
2,0.099169,0.098936,-0.24,-0.006,0.956172,False
3,0.093987,0.093148,-0.89,-0.031,0.760658,False
4,0.095570,0.094430,-1.19,-0.047,0.636254,False
5,0.094670,0.094464,-0.22,-0.009,0.929452,False
6,0.081998,0.081165,-1.02,-0.042,0.674166,False
7,0.081755,0.081011,-0.91,-0.039,0.700471,False
8,0.082751,0.082066,-0.83,-0.044,0.659918,False
9,0.089654,0.088702,-1.06,-0.070,0.482304,False
10,0.096389,0.095474,-0.95,-0.151,0.133726,False
11,0.103075,0.101899,-1.14,-0.179,0.0743295,False
12,0.109855,0.108880,-0.89,-0.144,0.151687,False
13,0.117949,0.117315,-0.54,-0.089,0.375239,False
14,0.140285,0.139078,-0.86,-0.031,0.760857,False
15,0.106707,0.106640,-0.06,-0.014,0.889659,False
16,0.118098,0.117701,-0.34,-0.077,0.440905,False
17,0.131086,0.130978,-0.08,-0.012,0.907053,False
18,0.124636,0.124538,-0.08,-0.017,0.86777,False
19,0.147644,0.147852,0.14,0.019,0.8522,False
20,0.157531,0.157384,-0.09,-0.018,0.856491,False
21,0.145785,0.146154,0.25,0.060,0.549402,False
22,0.124835,0.125267,0.35,0.051,0.613193,False
23,0.125704,0.125352,-0.28,-0.041,0.682375,False
24,0.121272,0.121251,-0.02,-0.003,0.979345,False
25,0.085777,0.086013,0.27,0.040,0.693138,False
26,0.009814,0.009892,0.79,0.067,0.504002,False
27,0.010207,0.010262,0.53,0.040,0.69303,False
28,0.010193,0.010265,0.71,0.049,0.626318,False
29,0.010146,0.010199,0.52,0.037,0.711185,False
30,0.010335,0.010318,-0.16,-0.011,0.910371,False
31,0.010651,0.010623,-0.26,-0.018,0.85581,False
32,0.012249,0.012217,-0.26,-0.015,0.878433,False
33,0.013489,0.013572,0.62,0.045,0.657346,False
34,0.013700,0.013870,1.24,0.109,0.278079,False
35,0.014318,0.014522,1.42,0.130,0.196674,False
36,0.016444,0.016667,1.36,0.128,0.204166,False
37,0.019084,0.019088,0.02,0.002,0.981322,False
38,0.006191,0.005861,-5.32,-0.045,0.654441,False
